Commodity,Market,Variety,Max_Price,Avg_Price,Min_Price,Last_Updated,Trend,Extra,Fetch_Date
Cauliflower,Vantamamidi,Cauliflower,1000,1000,1000,19 Oct 2025,,For Free Price Alerts,2025-12-05
Onion Green,Vantamamidi,Onion Green,2000,2000,2000,14 Oct 2025,,For Free Price Alerts,2025-12-05
Cluster beans,Vantamamidi,Cluster Beans,2500,2500,2500,10 Oct 2025,,For Free Price Alerts,2025-12-05
Drumstick,Vantamamidi,Drumstick,1500,1500,1500,11 Jun 2025,,For Free Price Alerts,2025-12-05
Sweet Potato,Vantamamidi,Hosur Green,1000,1000,1000,24 Feb 2025,,For Free Price Alerts,2025-12-05
Bhindi(Ladies Finger),Vantamamidi,Bhindi,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-12-05
Ridgeguard(Tori),Vantamamidi,Other,3000,2500,2000,05 Nov 2025,,For Free Price Alerts,2025-12-04
Beetroot,Vantamamidi,Beetroot,2000,2000,2000,17 Feb 2025,,For Free Price Alerts,2025-12-04
Bhindi(Ladies Finger),Vantamamidi,Bhindi,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-12-04
Tomato,Vantamamidi,Local,1800,1400,1000,05 Nov 2025,,For Free Price Alerts,2025-12-04
Bitter gourd,Vantamamidi,Bitter Gourd,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-12-04
Bottle gourd,Vantamamidi,Bottle Gourd,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-12-04
Brinjal,Vantamamidi,Arkasheela Mattigulla,2500,2000,1500,05 Nov 2025,,For Free Price Alerts,2025-12-04
Cabbage,Vantamamidi,Cabbage,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-12-04
Carrot,Vantamamidi,Carrot,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-12-04
Cucumbar(Kheera),Vantamamidi,Cucumbar,700,550,400,05 Nov 2025,,For Free Price Alerts,2025-12-04
Field Pea,Vantamamidi,Field Pea,3500,3000,2500,05 Nov 2025,,For Free Price Alerts,2025-12-04
Groundnut pods (raw),Vantamamidi,Groundnut pods (raw),3200,2600,2000,05 Nov 2025,,For Free Price Alerts,2025-12-04
Potato,Vantamamidi,Local,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-12-04
French Beans (Frasbean),Vantamamidi,French Beans (Frasbean),3000,3000,3000,03 Nov 2025,,For Free Price Alerts,2025-12-04
Pumpkin,Vantamamidi,Other,1000,1000,1000,03 Nov 2025,,For Free Price Alerts,2025-12-04
Green Chilli,Vantamamidi,Green Chilly,2000,2000,2000,01 Nov 2025,,For Free Price Alerts,2025-12-04
Snakeguard,Vantamamidi,Other,600,600,600,01 Nov 2025,,For Free Price Alerts,2025-12-04
Capsicum,Vantamamidi,Capsicum,2000,2000,2000,25 Oct 2025,,For Free Price Alerts,2025-12-04
Cauliflower,Vantamamidi,Cauliflower,1000,1000,1000,19 Oct 2025,,For Free Price Alerts,2025-12-04
Onion Green,Vantamamidi,Onion Green,2000,2000,2000,14 Oct 2025,,For Free Price Alerts,2025-12-04
Cluster beans,Vantamamidi,Cluster Beans,2500,2500,2500,10 Oct 2025,,For Free Price Alerts,2025-12-04
Drumstick,Vantamamidi,Drumstick,1500,1500,1500,11 Jun 2025,,For Free Price Alerts,2025-12-04
Sweet Potato,Vantamamidi,Hosur Green,1000,1000,1000,24 Feb 2025,,For Free Price Alerts,2025-12-04
French Beans (Frasbean),Vantamamidi,French Beans (Frasbean),3000,3000,3000,03 Nov 2025,,For Free Price Alerts,2025-12-03
Tomato,Vantamamidi,Local,1800,1400,1000,05 Nov 2025,,For Free Price Alerts,2025-12-03
Bhindi(Ladies Finger),Vantamamidi,Bhindi,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-12-03
Bitter gourd,Vantamamidi,Bitter Gourd,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-12-03
Ridgeguard(Tori),Vantamamidi,Other,3000,2500,2000,05 Nov 2025,,For Free Price Alerts,2025-12-03
Brinjal,Vantamamidi,Arkasheela Mattigulla,2500,2000,1500,05 Nov 2025,,For Free Price Alerts,2025-12-03
Onion Green,Vantamamidi,Onion Green,2000,2000,2000,14 Oct 2025,,For Free Price Alerts,2025-12-03
Capsicum,Vantamamidi,Capsicum,2000,2000,2000,25 Oct 2025,,For Free Price Alerts,2025-12-03
Snakeguard,Vantamamidi,Other,600,600,600,01 Nov 2025,,For Free Price Alerts,2025-12-03
Green Chilli,Vantamamidi,Green Chilly,2000,2000,2000,01 Nov 2025,,For Free Price Alerts,2025-12-03
Pumpkin,Vantamamidi,Other,1000,1000,1000,03 Nov 2025,,For Free Price Alerts,2025-12-03
Cauliflower,Vantamamidi,Cauliflower,1000,1000,1000,19 Oct 2025,,For Free Price Alerts,2025-12-03
Beetroot,Vantamamidi,Beetroot,2000,2000,2000,17 Feb 2025,,For Free Price Alerts,2025-12-03
Cucumbar(Kheera),Vantamamidi,Cucumbar,700,550,400,05 Nov 2025,,For Free Price Alerts,2025-12-03
Sweet Potato,Vantamamidi,Hosur Green,1000,1000,1000,24 Feb 2025,,For Free Price Alerts,2025-12-03
Cluster beans,Vantamamidi,Cluster Beans,2500,2500,2500,10 Oct 2025,,For Free Price Alerts,2025-12-03
Cabbage,Vantamamidi,Cabbage,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-12-03
Carrot,Vantamamidi,Carrot,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-12-03
Bottle gourd,Vantamamidi,Bottle Gourd,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-12-03
Field Pea,Vantamamidi,Field Pea,3500,3000,2500,05 Nov 2025,,For Free Price Alerts,2025-12-03
Groundnut pods (raw),Vantamamidi,Groundnut pods (raw),3200,2600,2000,05 Nov 2025,,For Free Price Alerts,2025-12-03
Potato,Vantamamidi,Local,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-12-03
Drumstick,Vantamamidi,Drumstick,1500,1500,1500,11 Jun 2025,,For Free Price Alerts,2025-12-03
Beetroot,Vantamamidi,Beetroot,2000,2000,2000,17 Feb 2025,,For Free Price Alerts,2025-12-02
Field Pea,Vantamamidi,Field Pea,3500,3000,2500,05 Nov 2025,,For Free Price Alerts,2025-12-02
Sweet Potato,Vantamamidi,Hosur Green,1000,1000,1000,24 Feb 2025,,For Free Price Alerts,2025-12-02
Tomato,Vantamamidi,Local,1800,1400,1000,05 Nov 2025,,For Free Price Alerts,2025-12-02
Cucumbar(Kheera),Vantamamidi,Cucumbar,700,550,400,05 Nov 2025,,For Free Price Alerts,2025-12-02
Drumstick,Vantamamidi,Drumstick,1500,1500,1500,11 Jun 2025,,For Free Price Alerts,2025-12-02
Bhindi(Ladies Finger),Vantamamidi,Bhindi,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-12-02
Carrot,Vantamamidi,Carrot,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-12-02
Capsicum,Vantamamidi,Capsicum,2000,2000,2000,25 Oct 2025,,For Free Price Alerts,2025-12-02
Snakeguard,Vantamamidi,Other,600,600,600,01 Nov 2025,,For Free Price Alerts,2025-12-02
Green Chilli,Vantamamidi,Green Chilly,2000,2000,2000,01 Nov 2025,,For Free Price Alerts,2025-12-02
Pumpkin,Vantamamidi,Other,1000,1000,1000,03 Nov 2025,,For Free Price Alerts,2025-12-02
French Beans (Frasbean),Vantamamidi,French Beans (Frasbean),3000,3000,3000,03 Nov 2025,,For Free Price Alerts,2025-12-02
Cauliflower,Vantamamidi,Cauliflower,1000,1000,1000,19 Oct 2025,,For Free Price Alerts,2025-12-02
Ridgeguard(Tori),Vantamamidi,Other,3000,2500,2000,05 Nov 2025,,For Free Price Alerts,2025-12-02
Groundnut pods (raw),Vantamamidi,Groundnut pods (raw),3200,2600,2000,05 Nov 2025,,For Free Price Alerts,2025-12-02
Cluster beans,Vantamamidi,Cluster Beans,2500,2500,2500,10 Oct 2025,,For Free Price Alerts,2025-12-02
Onion Green,Vantamamidi,Onion Green,2000,2000,2000,14 Oct 2025,,For Free Price Alerts,2025-12-02
Cabbage,Vantamamidi,Cabbage,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-12-02
Brinjal,Vantamamidi,Arkasheela Mattigulla,2500,2000,1500,05 Nov 2025,,For Free Price Alerts,2025-12-02
Bottle gourd,Vantamamidi,Bottle Gourd,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-12-02
Bitter gourd,Vantamamidi,Bitter Gourd,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-12-02
Potato,Vantamamidi,Local,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-12-02
Capsicum,Vantamamidi,Capsicum,2000,2000,2000,25 Oct 2025,,For Free Price Alerts,2025-12-01
Carrot,Vantamamidi,Carrot,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-12-01
Beetroot,Vantamamidi,Beetroot,2000,2000,2000,17 Feb 2025,,For Free Price Alerts,2025-12-01
Snakeguard,Vantamamidi,Other,600,600,600,01 Nov 2025,,For Free Price Alerts,2025-12-01
Green Chilli,Vantamamidi,Green Chilly,2000,2000,2000,01 Nov 2025,,For Free Price Alerts,2025-12-01
Cauliflower,Vantamamidi,Cauliflower,1000,1000,1000,19 Oct 2025,,For Free Price Alerts,2025-12-01
Cabbage,Vantamamidi,Cabbage,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-12-01
Pumpkin,Vantamamidi,Other,1000,1000,1000,03 Nov 2025,,For Free Price Alerts,2025-12-01
French Beans (Frasbean),Vantamamidi,French Beans (Frasbean),3000,3000,3000,03 Nov 2025,,For Free Price Alerts,2025-12-01
Bottle gourd,Vantamamidi,Bottle Gourd,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-12-01
Groundnut pods (raw),Vantamamidi,Groundnut pods (raw),3200,2600,2000,05 Nov 2025,,For Free Price Alerts,2025-12-01
Field Pea,Vantamamidi,Field Pea,3500,3000,2500,05 Nov 2025,,For Free Price Alerts,2025-12-01
Sweet Potato,Vantamamidi,Hosur Green,1000,1000,1000,24 Feb 2025,,For Free Price Alerts,2025-12-01
Drumstick,Vantamamidi,Drumstick,1500,1500,1500,11 Jun 2025,,For Free Price Alerts,2025-12-01
Cluster beans,Vantamamidi,Cluster Beans,2500,2500,2500,10 Oct 2025,,For Free Price Alerts,2025-12-01
Cucumbar(Kheera),Vantamamidi,Cucumbar,700,550,400,05 Nov 2025,,For Free Price Alerts,2025-12-01
Onion Green,Vantamamidi,Onion Green,2000,2000,2000,14 Oct 2025,,For Free Price Alerts,2025-12-01
Brinjal,Vantamamidi,Arkasheela Mattigulla,2500,2000,1500,05 Nov 2025,,For Free Price Alerts,2025-12-01
Bitter gourd,Vantamamidi,Bitter Gourd,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-12-01
Ridgeguard(Tori),Vantamamidi,Other,3000,2500,2000,05 Nov 2025,,For Free Price Alerts,2025-12-01
Bhindi(Ladies Finger),Vantamamidi,Bhindi,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-12-01
Potato,Vantamamidi,Local,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-12-01
Tomato,Vantamamidi,Local,1800,1400,1000,05 Nov 2025,,For Free Price Alerts,2025-12-01
Potato,Vantamamidi,Local,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-11-30
Drumstick,Vantamamidi,Drumstick,1500,1500,1500,11 Jun 2025,,For Free Price Alerts,2025-11-30
Tomato,Vantamamidi,Local,1800,1400,1000,05 Nov 2025,,For Free Price Alerts,2025-11-30
Onion Green,Vantamamidi,Onion Green,2000,2000,2000,14 Oct 2025,,For Free Price Alerts,2025-11-30
Pumpkin,Vantamamidi,Other,1000,1000,1000,03 Nov 2025,,For Free Price Alerts,2025-11-30
Green Chilli,Vantamamidi,Green Chilly,2000,2000,2000,01 Nov 2025,,For Free Price Alerts,2025-11-30
Cucumbar(Kheera),Vantamamidi,Cucumbar,700,550,400,05 Nov 2025,,For Free Price Alerts,2025-11-30
Cluster beans,Vantamamidi,Cluster Beans,2500,2500,2500,10 Oct 2025,,For Free Price Alerts,2025-11-30
Capsicum,Vantamamidi,Capsicum,2000,2000,2000,25 Oct 2025,,For Free Price Alerts,2025-11-30
Bitter gourd,Vantamamidi,Bitter Gourd,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-11-30
Bottle gourd,Vantamamidi,Bottle Gourd,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-11-30
Brinjal,Vantamamidi,Arkasheela Mattigulla,2500,2000,1500,05 Nov 2025,,For Free Price Alerts,2025-11-30
Cabbage,Vantamamidi,Cabbage,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-11-30
Carrot,Vantamamidi,Carrot,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-11-30
Bhindi(Ladies Finger),Vantamamidi,Bhindi,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-11-30
Field Pea,Vantamamidi,Field Pea,3500,3000,2500,05 Nov 2025,,For Free Price Alerts,2025-11-30
Groundnut pods (raw),Vantamamidi,Groundnut pods (raw),3200,2600,2000,05 Nov 2025,,For Free Price Alerts,2025-11-30
Ridgeguard(Tori),Vantamamidi,Other,3000,2500,2000,05 Nov 2025,,For Free Price Alerts,2025-11-30
Cauliflower,Vantamamidi,Cauliflower,1000,1000,1000,19 Oct 2025,,For Free Price Alerts,2025-11-30
French Beans (Frasbean),Vantamamidi,French Beans (Frasbean),3000,3000,3000,03 Nov 2025,,For Free Price Alerts,2025-11-30
Beetroot,Vantamamidi,Beetroot,2000,2000,2000,17 Feb 2025,,For Free Price Alerts,2025-11-30
Sweet Potato,Vantamamidi,Hosur Green,1000,1000,1000,24 Feb 2025,,For Free Price Alerts,2025-11-30
Snakeguard,Vantamamidi,Other,600,600,600,01 Nov 2025,,For Free Price Alerts,2025-11-30
Brinjal,Vantamamidi,Arkasheela Mattigulla,2500,2000,1500,05 Nov 2025,,For Free Price Alerts,2025-11-29
Field Pea,Vantamamidi,Field Pea,3500,3000,2500,05 Nov 2025,,For Free Price Alerts,2025-11-29
Beetroot,Vantamamidi,Beetroot,2000,2000,2000,17 Feb 2025,,For Free Price Alerts,2025-11-29
Cauliflower,Vantamamidi,Cauliflower,1000,1000,1000,19 Oct 2025,,For Free Price Alerts,2025-11-29
Drumstick,Vantamamidi,Drumstick,1500,1500,1500,11 Jun 2025,,For Free Price Alerts,2025-11-29
Sweet Potato,Vantamamidi,Hosur Green,1000,1000,1000,24 Feb 2025,,For Free Price Alerts,2025-11-29
Green Chilli,Vantamamidi,Green Chilly,2000,2000,2000,01 Nov 2025,,For Free Price Alerts,2025-11-29
Snakeguard,Vantamamidi,Other,600,600,600,01 Nov 2025,,For Free Price Alerts,2025-11-29
Capsicum,Vantamamidi,Capsicum,2000,2000,2000,25 Oct 2025,,For Free Price Alerts,2025-11-29
French Beans (Frasbean),Vantamamidi,French Beans (Frasbean),3000,3000,3000,03 Nov 2025,,For Free Price Alerts,2025-11-29
Tomato,Vantamamidi,Local,1800,1400,1000,05 Nov 2025,,For Free Price Alerts,2025-11-29
Ridgeguard(Tori),Vantamamidi,Other,3000,2500,2000,05 Nov 2025,,For Free Price Alerts,2025-11-29
Groundnut pods (raw),Vantamamidi,Groundnut pods (raw),3200,2600,2000,05 Nov 2025,,For Free Price Alerts,2025-11-29
Cluster beans,Vantamamidi,Cluster Beans,2500,2500,2500,10 Oct 2025,,For Free Price Alerts,2025-11-29
Cucumbar(Kheera),Vantamamidi,Cucumbar,700,550,400,05 Nov 2025,,For Free Price Alerts,2025-11-29
Carrot,Vantamamidi,Carrot,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-11-29
Cabbage,Vantamamidi,Cabbage,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-11-29
Bottle gourd,Vantamamidi,Bottle Gourd,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-11-29
Bitter gourd,Vantamamidi,Bitter Gourd,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-11-29
Bhindi(Ladies Finger),Vantamamidi,Bhindi,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-11-29
Potato,Vantamamidi,Local,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-11-29
Onion Green,Vantamamidi,Onion Green,2000,2000,2000,14 Oct 2025,,For Free Price Alerts,2025-11-29
Pumpkin,Vantamamidi,Other,1000,1000,1000,03 Nov 2025,,For Free Price Alerts,2025-11-29
Drumstick,Vantamamidi,Drumstick,1500,1500,1500,11 Jun 2025,,For Free Price Alerts,2025-11-28
Tomato,Vantamamidi,Local,1800,1400,1000,05 Nov 2025,,For Free Price Alerts,2025-11-28
Potato,Vantamamidi,Local,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-11-28
Cauliflower,Vantamamidi,Cauliflower,1000,1000,1000,19 Oct 2025,,For Free Price Alerts,2025-11-28
Pumpkin,Vantamamidi,Other,1000,1000,1000,03 Nov 2025,,For Free Price Alerts,2025-11-28
Green Chilli,Vantamamidi,Green Chilly,2000,2000,2000,01 Nov 2025,,For Free Price Alerts,2025-11-28
Snakeguard,Vantamamidi,Other,600,600,600,01 Nov 2025,,For Free Price Alerts,2025-11-28
Capsicum,Vantamamidi,Capsicum,2000,2000,2000,25 Oct 2025,,For Free Price Alerts,2025-11-28
Beetroot,Vantamamidi,Beetroot,2000,2000,2000,17 Feb 2025,,For Free Price Alerts,2025-11-28
Onion Green,Vantamamidi,Onion Green,2000,2000,2000,14 Oct 2025,,For Free Price Alerts,2025-11-28
Cluster beans,Vantamamidi,Cluster Beans,2500,2500,2500,10 Oct 2025,,For Free Price Alerts,2025-11-28
Sweet Potato,Vantamamidi,Hosur Green,1000,1000,1000,24 Feb 2025,,For Free Price Alerts,2025-11-28
Ridgeguard(Tori),Vantamamidi,Other,3000,2500,2000,05 Nov 2025,,For Free Price Alerts,2025-11-28
Field Pea,Vantamamidi,Field Pea,3500,3000,2500,05 Nov 2025,,For Free Price Alerts,2025-11-28
Cucumbar(Kheera),Vantamamidi,Cucumbar,700,550,400,05 Nov 2025,,For Free Price Alerts,2025-11-28
Carrot,Vantamamidi,Carrot,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-11-28
Cabbage,Vantamamidi,Cabbage,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-11-28
Brinjal,Vantamamidi,Arkasheela Mattigulla,2500,2000,1500,05 Nov 2025,,For Free Price Alerts,2025-11-28
Bottle gourd,Vantamamidi,Bottle Gourd,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-11-28
Bitter gourd,Vantamamidi,Bitter Gourd,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-11-28
Bhindi(Ladies Finger),Vantamamidi,Bhindi,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-11-28
French Beans (Frasbean),Vantamamidi,French Beans (Frasbean),3000,3000,3000,03 Nov 2025,,For Free Price Alerts,2025-11-28
Groundnut pods (raw),Vantamamidi,Groundnut pods (raw),3200,2600,2000,05 Nov 2025,,For Free Price Alerts,2025-11-28
Snakeguard,Vantamamidi,Other,600,600,600,01 Nov 2025,,For Free Price Alerts,2025-11-27
Green Chilli,Vantamamidi,Green Chilly,2000,2000,2000,01 Nov 2025,,For Free Price Alerts,2025-11-27
Pumpkin,Vantamamidi,Other,1000,1000,1000,03 Nov 2025,,For Free Price Alerts,2025-11-27
Field Pea,Vantamamidi,Field Pea,3500,3000,2500,05 Nov 2025,,For Free Price Alerts,2025-11-27
Groundnut pods (raw),Vantamamidi,Groundnut pods (raw),3200,2600,2000,05 Nov 2025,,For Free Price Alerts,2025-11-27
Beetroot,Vantamamidi,Beetroot,2000,2000,2000,17 Feb 2025,,For Free Price Alerts,2025-11-27
Onion Green,Vantamamidi,Onion Green,2000,2000,2000,14 Oct 2025,,For Free Price Alerts,2025-11-27
Cluster beans,Vantamamidi,Cluster Beans,2500,2500,2500,10 Oct 2025,,For Free Price Alerts,2025-11-27
Drumstick,Vantamamidi,Drumstick,1500,1500,1500,11 Jun 2025,,For Free Price Alerts,2025-11-27
Sweet Potato,Vantamamidi,Hosur Green,1000,1000,1000,24 Feb 2025,,For Free Price Alerts,2025-11-27
French Beans (Frasbean),Vantamamidi,French Beans (Frasbean),3000,3000,3000,03 Nov 2025,,For Free Price Alerts,2025-11-27
Potato,Vantamamidi,Local,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-11-27
Bhindi(Ladies Finger),Vantamamidi,Bhindi,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-11-27
Capsicum,Vantamamidi,Capsicum,2000,2000,2000,25 Oct 2025,,For Free Price Alerts,2025-11-27
Cauliflower,Vantamamidi,Cauliflower,1000,1000,1000,19 Oct 2025,,For Free Price Alerts,2025-11-27
Cucumbar(Kheera),Vantamamidi,Cucumbar,700,550,400,05 Nov 2025,,For Free Price Alerts,2025-11-27
Carrot,Vantamamidi,Carrot,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-11-27
Cabbage,Vantamamidi,Cabbage,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-11-27
Brinjal,Vantamamidi,Arkasheela Mattigulla,2500,2000,1500,05 Nov 2025,,For Free Price Alerts,2025-11-27
Bottle gourd,Vantamamidi,Bottle Gourd,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-11-27
Bitter gourd,Vantamamidi,Bitter Gourd,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-11-27
Ridgeguard(Tori),Vantamamidi,Other,3000,2500,2000,05 Nov 2025,,For Free Price Alerts,2025-11-27
Tomato,Vantamamidi,Local,1800,1400,1000,05 Nov 2025,,For Free Price Alerts,2025-11-27
Groundnut pods (raw),Vantamamidi,Groundnut pods (raw),3200,2600,2000,05 Nov 2025,,For Free Price Alerts,2025-11-26
Snakeguard,Vantamamidi,Other,600,600,600,01 Nov 2025,,For Free Price Alerts,2025-11-26
Tomato,Vantamamidi,Local,1800,1400,1000,05 Nov 2025,,For Free Price Alerts,2025-11-26
Pumpkin,Vantamamidi,Other,1000,1000,1000,03 Nov 2025,,For Free Price Alerts,2025-11-26
Cluster beans,Vantamamidi,Cluster Beans,2500,2500,2500,10 Oct 2025,,For Free Price Alerts,2025-11-26
Drumstick,Vantamamidi,Drumstick,1500,1500,1500,11 Jun 2025,,For Free Price Alerts,2025-11-26
Sweet Potato,Vantamamidi,Hosur Green,1000,1000,1000,24 Feb 2025,,For Free Price Alerts,2025-11-26
Beetroot,Vantamamidi,Beetroot,2000,2000,2000,17 Feb 2025,,For Free Price Alerts,2025-11-26
French Beans (Frasbean),Vantamamidi,French Beans (Frasbean),3000,3000,3000,03 Nov 2025,,For Free Price Alerts,2025-11-26
Cauliflower,Vantamamidi,Cauliflower,1000,1000,1000,19 Oct 2025,,For Free Price Alerts,2025-11-26
Green Chilli,Vantamamidi,Green Chilly,2000,2000,2000,01 Nov 2025,,For Free Price Alerts,2025-11-26
Capsicum,Vantamamidi,Capsicum,2000,2000,2000,25 Oct 2025,,For Free Price Alerts,2025-11-26
Cucumbar(Kheera),Vantamamidi,Cucumbar,700,550,400,05 Nov 2025,,For Free Price Alerts,2025-11-26
Onion Green,Vantamamidi,Onion Green,2000,2000,2000,14 Oct 2025,,For Free Price Alerts,2025-11-26
Bhindi(Ladies Finger),Vantamamidi,Bhindi,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-11-26
Carrot,Vantamamidi,Carrot,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-11-26
Cabbage,Vantamamidi,Cabbage,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-11-26
Brinjal,Vantamamidi,Arkasheela Mattigulla,2500,2000,1500,05 Nov 2025,,For Free Price Alerts,2025-11-26
Bottle gourd,Vantamamidi,Bottle Gourd,1000,750,500,05 Nov 2025,,For Free Price Alerts,2025-11-26
Bitter gourd,Vantamamidi,Bitter Gourd,3500,2750,2000,05 Nov 2025,,For Free Price Alerts,2025-11-26
Potato,Vantamamidi,Local,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-11-26
Ridgeguard(Tori),Vantamamidi,Other,3000,2500,2000,05 Nov 2025,,For Free Price Alerts,2025-11-26
Field Pea,Vantamamidi,Field Pea,3500,3000,2500,05 Nov 2025,,For Free Price Alerts,2025-11-26
Sweet Potato,Vantamamidi,Hosur Green,1000,1000,1000,24 Feb 2025,,For Free Price Alerts,2025-11-25
French Beans (Frasbean),Vantamamidi,French Beans (Frasbean),3000,3000,3000,03 Nov 2025,,For Free Price Alerts,2025-11-25
Potato,Vantamamidi,Local,1000,1000,1000,05 Nov 2025,,For Free Price Alerts,2025-11-25
Cauliflower,Vantamamidi,Cauliflower,1000,1000,1000,19 Oct 2025,,For Free Price Alerts,2025-11-25
Pumpkin,Vantamamidi,Other,1000,1000,1000,03 Nov 2025,,For Free Price Alerts,2025-11-25
Green Chilli,Vantamamidi,Green Chilly,2000,2000,2000,01 Nov 2025,,For Free Price Alerts,2025-11-25
Snakeguard,Vantamamidi,Other,600,600,600,01 Nov 2025,,For Free Price Alerts,2025-11-25
Capsicum,Vantamamidi,Capsicum,2000,2000,2000,25 Oct 2025,,For Free Price Alerts,2025-11-25
Beetroot,Vantamamidi,Beetroot,2000,2000,2000,17 Feb 2025,,For Free Price Alerts,2025-11-25
Onion Green,Vantamamidi,Onion Green,2000,2000,2000,14 Oct 2025,,For Free Price Alerts,2025-11-25
